,dt,new_users_count,day_after_install,retained_users_count,retention
437,2020-01-27,99,90.0,1.0,0.010101010101010102
438,2020-01-27,99,92.0,2.0,0.020202020202020204
439,2020-01-27,99,93.0,1.0,0.010101010101010102
440,2020-01-27,99,94.0,1.0,0.010101010101010102
441,2020-01-27,99,95.0,1.0,0.010101010101010102
442,2020-01-27,99,96.0,2.0,0.020202020202020204
443,2020-01-27,99,98.0,1.0,0.010101010101010102
444,2020-01-27,99,99.0,1.0,0.010101010101010102
445,2020-01-27,99,105.0,2.0,0.020202020202020204
446,2020-01-27,99,110.0,2.0,0.020202020202020204
447,2020-01-27,99,116.0,1.0,0.010101010101010102
448,2020-01-27,99,117.0,1.0,0.010101010101010102
449,2020-01-27,99,124.0,1.0,0.010101010101010102
450,2020-01-27,99,125.0,2.0,0.020202020202020204
451,2020-01-27,99,126.0,1.0,0.010101010101010102
452,2020-01-27,99,127.0,2.0,0.020202020202020204
453,2020-01-27,99,128.0,1.0,0.010101010101010102
454,2020-01-27,99,129.0,2.0,0.020202020202020204
455,2020-01-27,99,130.0,1.0,0.010101010101010102
456,2020-01-27,99,131.0,2.0,0.020202020202020204
457,2020-01-27,99,133.0,4.0,0.04040404040404041
458,2020-01-27,99,134.0,1.0,0.010101010101010102
459,2020-01-27,99,136.0,1.0,0.010101010101010102
460,2020-01-27,99,140.0,1.0,0.010101010101010102
461,2020-01-27,99,141.0,1.0,0.010101010101010102
462,2020-01-27,99,142.0,1.0,0.010101010101010102
463,2020-01-27,99,146.0,1.0,0.010101010101010102
464,2020-01-27,99,149.0,1.0,0.010101010101010102
465,2020-01-28,81,1.0,11.0,0.13580246913580246
466,2020-01-28,81,2.0,4.0,0.04938271604938271
467,2020-01-28,81,3.0,2.0,0.024691358024691357
468,2020-01-28,81,4.0,2.0,0.024691358024691357
469,2020-01-28,81,5.0,1.0,0.012345679012345678
470,2020-01-28,81,6.0,1.0,0.012345679012345678
471,2020-01-28,81,7.0,2.0,0.024691358024691357
472,2020-01-28,81,10.0,1.0,0.012345679012345678
473,2020-01-28,81,11.0,1.0,0.012345679012345678
474,2020-01-28,81,12.0,1.0,0.012345679012345678
475,2020-01-28,81,14.0,1.0,0.012345679012345678
476,2020-01-28,81,16.0,1.0,0.012345679012345678
477,2020-01-28,81,18.0,1.0,0.012345679012345678
478,2020-01-28,81,19.0,2.0,0.024691358024691357
479,2020-01-28,81,20.0,1.0,0.012345679012345678
480,2020-01-28,81,22.0,2.0,0.024691358024691357
481,2020-01-28,81,24.0,3.0,0.037037037037037035
482,2020-01-28,81,25.0,1.0,0.012345679012345678
483,2020-01-28,81,30.0,1.0,0.012345679012345678
484,2020-01-28,81,38.0,1.0,0.012345679012345678
485,2020-01-28,81,41.0,1.0,0.012345679012345678
486,2020-01-28,81,43.0,1.0,0.012345679012345678
487,2020-01-28,81,46.0,1.0,0.012345679012345678
488,2020-01-28,81,55.0,1.0,0.012345679012345678
489,2020-01-28,81,73.0,1.0,0.012345679012345678
490,2020-01-28,81,76.0,1.0,0.012345679012345678
491,2020-01-28,81,92.0,2.0,0.024691358024691357
492,2020-01-28,81,93.0,1.0,0.012345679012345678
493,2020-01-28,81,96.0,1.0,0.012345679012345678
494,2020-01-28,81,98.0,1.0,0.012345679012345678
495,2020-01-28,81,101.0,2.0,0.024691358024691357
496,2020-01-28,81,103.0,2.0,0.024691358024691357
497,2020-01-28,81,105.0,1.0,0.012345679012345678
498,2020-01-28,81,107.0,1.0,0.012345679012345678
499,2020-01-28,81,108.0,3.0,0.037037037037037035
